0, , ,2
0,0,0,2
0,1,1,2
0,2,2,2
0,3,3,2
0,4,4,2
0,5,5,2
0,6,6,2
0,7,7,2
2, ,<,4
2,0,<,4
2,1,<,4
2,2,<,4
2,3,<,4
2,4,<,4
2,5,<,4
2,6,<,4
2,7,<,4
4,0,<,4
4,1,<,4
4,2,<,4
4,3,<,4
4,4,<,4
4,5,<,4
4,6,<,4
4,7,<,4
4, ,>,5
14, ,>,5
14,0,>,5
14,1,>,5
14,2,>,5
14,3,>,5
14,4,>,5
14,5,>,5
14,6,>,5
14,7,>,5
21, ,>,5
21,0,>,5
21,1,>,5
21,2,>,5
21,3,>,5
21,4,>,5
21,5,>,5
21,6,>,5
21,7,>,5
28, ,>,5
28,0,>,5
28,1,>,5
28,2,>,5
28,3,>,5
28,4,>,5
28,5,>,5
28,6,>,5
28,7,>,5
35, ,>,5
35,0,>,5
35,1,>,5
35,2,>,5
35,3,>,5
35,4,>,5
35,5,>,5
35,6,>,5
35,7,>,5
42, ,>,5
42,0,>,5
42,1,>,5
42,2,>,5
42,3,>,5
42,4,>,5
42,5,>,5
42,6,>,5
42,7,>,5
49, ,>,5
49,0,>,5
49,1,>,5
49,2,>,5
49,3,>,5
49,4,>,5
49,5,>,5
49,6,>,5
49,7,>,5
56, ,>,5
56,0,>,5
56,1,>,5
56,2,>,5
56,3,>,5
56,4,>,5
56,5,>,5
56,6,>,5
56,7,>,5
63, ,>,5
63,0,>,5
63,1,>,5
63,2,>,5
63,3,>,5
63,4,>,5
63,5,>,5
63,6,>,5
63,7,>,5
5, ,>,6
6,0,>,6
6,1,>,6
6,2,>,6
6,3,>,6
6,4,>,6
6,5,>,6
6,6,>,6
6,7,>,6
6, , ,7
5,0, ,8
8, ,>,9
8,0,>,9
8,1,>,9
8,2,>,9
8,3,>,9
8,4,>,9
8,5,>,9
8,6,>,9
8,7,>,9
9,0,>,9
9,1,>,9
9,2,>,9
9,3,>,9
9,4,>,9
9,5,>,9
9,6,>,9
9,7,>,9
9, ,>,10
10,0,>,10
10,1,>,10
10,2,>,10
10,3,>,10
10,4,>,10
10,5,>,10
10,6,>,10
10,7,>,10
10, ,0,11
11, ,<,12
11,0,<,12
11,1,<,12
11,2,<,12
11,3,<,12
11,4,<,12
11,5,<,12
11,6,<,12
11,7,<,12
12,0,<,12
12,1,<,12
12,2,<,12
12,3,<,12
12,4,<,12
12,5,<,12
12,6,<,12
12,7,<,12
12, ,<,13
13,0,<,13
13,1,<,13
13,2,<,13
13,3,<,13
13,4,<,13
13,5,<,13
13,6,<,13
13,7,<,13
13, ,0,14
5,1, ,15
15, ,>,16
15,0,>,16
15,1,>,16
15,2,>,16
15,3,>,16
15,4,>,16
15,5,>,16
15,6,>,16
15,7,>,16
16,0,>,16
16,1,>,16
16,2,>,16
16,3,>,16
16,4,>,16
16,5,>,16
16,6,>,16
16,7,>,16
16, ,>,17
17,0,>,17
17,1,>,17
17,2,>,17
17,3,>,17
17,4,>,17
17,5,>,17
17,6,>,17
17,7,>,17
17, ,1,18
18, ,<,19
18,0,<,19
18,1,<,19
18,2,<,19
18,3,<,19
18,4,<,19
18,5,<,19
18,6,<,19
18,7,<,19
19,0,<,19
19,1,<,19
19,2,<,19
19,3,<,19
19,4,<,19
19,5,<,19
19,6,<,19
19,7,<,19
19, ,<,20
20,0,<,20
20,1,<,20
20,2,<,20
20,3,<,20
20,4,<,20
20,5,<,20
20,6,<,20
20,7,<,20
20, ,1,21
5,2, ,22
22, ,>,23
22,0,>,23
22,1,>,23
22,2,>,23
22,3,>,23
22,4,>,23
22,5,>,23
22,6,>,23
22,7,>,23
23,0,>,23
23,1,>,23
23,2,>,23
23,3,>,23
23,4,>,23
23,5,>,23
23,6,>,23
23,7,>,23
23, ,>,24
24,0,>,24
24,1,>,24
24,2,>,24
24,3,>,24
24,4,>,24
24,5,>,24
24,6,>,24
24,7,>,24
24, ,2,25
25, ,<,26
25,0,<,26
25,1,<,26
25,2,<,26
25,3,<,26
25,4,<,26
25,5,<,26
25,6,<,26
25,7,<,26
26,0,<,26
26,1,<,26
26,2,<,26
26,3,<,26
26,4,<,26
26,5,<,26
26,6,<,26
26,7,<,26
26, ,<,27
27,0,<,27
27,1,<,27
27,2,<,27
27,3,<,27
27,4,<,27
27,5,<,27
27,6,<,27
27,7,<,27
27, ,2,28
5,3, ,29
29, ,>,30
29,0,>,30
29,1,>,30
29,2,>,30
29,3,>,30
29,4,>,30
29,5,>,30
29,6,>,30
29,7,>,30
30,0,>,30
30,1,>,30
30,2,>,30
30,3,>,30
30,4,>,30
30,5,>,30
30,6,>,30
30,7,>,30
30, ,>,31
31,0,>,31
31,1,>,31
31,2,>,31
31,3,>,31
31,4,>,31
31,5,>,31
31,6,>,31
31,7,>,31
31, ,3,32
32, ,<,33
32,0,<,33
32,1,<,33
32,2,<,33
32,3,<,33
32,4,<,33
32,5,<,33
32,6,<,33
32,7,<,33
33,0,<,33
33,1,<,33
33,2,<,33
33,3,<,33
33,4,<,33
33,5,<,33
33,6,<,33
33,7,<,33
33, ,<,34
34,0,<,34
34,1,<,34
34,2,<,34
34,3,<,34
34,4,<,34
34,5,<,34
34,6,<,34
34,7,<,34
34, ,3,35
5,4, ,36
36, ,>,37
36,0,>,37
36,1,>,37
36,2,>,37
36,3,>,37
36,4,>,37
36,5,>,37
36,6,>,37
36,7,>,37
37,0,>,37
37,1,>,37
37,2,>,37
37,3,>,37
37,4,>,37
37,5,>,37
37,6,>,37
37,7,>,37
37, ,>,38
38,0,>,38
38,1,>,38
38,2,>,38
38,3,>,38
38,4,>,38
38,5,>,38
38,6,>,38
38,7,>,38
38, ,4,39
39, ,<,40
39,0,<,40
39,1,<,40
39,2,<,40
39,3,<,40
39,4,<,40
39,5,<,40
39,6,<,40
39,7,<,40
40,0,<,40
40,1,<,40
40,2,<,40
40,3,<,40
40,4,<,40
40,5,<,40
40,6,<,40
40,7,<,40
40, ,<,41
41,0,<,41
41,1,<,41
41,2,<,41
41,3,<,41
41,4,<,41
41,5,<,41
41,6,<,41
41,7,<,41
41, ,4,42
5,5, ,43
43, ,>,44
43,0,>,44
43,1,>,44
43,2,>,44
43,3,>,44
43,4,>,44
43,5,>,44
43,6,>,44
43,7,>,44
44,0,>,44
44,1,>,44
44,2,>,44
44,3,>,44
44,4,>,44
44,5,>,44
44,6,>,44
44,7,>,44
44, ,>,45
45,0,>,45
45,1,>,45
45,2,>,45
45,3,>,45
45,4,>,45
45,5,>,45
45,6,>,45
45,7,>,45
45, ,5,46
46, ,<,47
46,0,<,47
46,1,<,47
46,2,<,47
46,3,<,47
46,4,<,47
46,5,<,47
46,6,<,47
46,7,<,47
47,0,<,47
47,1,<,47
47,2,<,47
47,3,<,47
47,4,<,47
47,5,<,47
47,6,<,47
47,7,<,47
47, ,<,48
48,0,<,48
48,1,<,48
48,2,<,48
48,3,<,48
48,4,<,48
48,5,<,48
48,6,<,48
48,7,<,48
48, ,5,49
5,6, ,50
50, ,>,51
50,0,>,51
50,1,>,51
50,2,>,51
50,3,>,51
50,4,>,51
50,5,>,51
50,6,>,51
50,7,>,51
51,0,>,51
51,1,>,51
51,2,>,51
51,3,>,51
51,4,>,51
51,5,>,51
51,6,>,51
51,7,>,51
51, ,>,52
52,0,>,52
52,1,>,52
52,2,>,52
52,3,>,52
52,4,>,52
52,5,>,52
